ZipCode;Latitude;Longitude;State;StateFullName;City
01029;42.192033;-73.045339;MA;Massachusetts;East Otis
01030;42.070474;-72.675174;MA;Massachusetts;Feeding Hills
01031;42.3611;-72.20382;MA;Massachusetts;Gilbertville
01032;42.454455;-72.826714;MA;Massachusetts;Goshen
01033;42.257915;-72.505683;MA;Massachusetts;Granby
01034;42.092408;-72.949682;MA;Massachusetts;Granville
01035;42.356251;-72.585014;MA;Massachusetts;Hadley
01036;42.072956;-72.416626;MA;Massachusetts;Hampden
01037;42.378705;-72.192186;MA;Massachusetts;Hardwick
01038;42.3863;-72.60588;MA;Massachusetts;Hatfield
01039;42.411178;-72.688894;MA;Massachusetts;Haydenville
01040;42.222692;-72.640474;MA;Massachusetts;Holyoke
01041;42.2043;-72.6167;MA;Massachusetts;Holyoke
01050;42.270928;-72.903169;MA;Massachusetts;Huntington
01053;42.352158;-72.715494;MA;Massachusetts;Leeds
01054;42.475356;-72.487555;MA;Massachusetts;Leverett
01056;42.192007;-72.45872;MA;Massachusetts;Ludlow
01057;42.095536;-72.312918;MA;Massachusetts;Monson
01059;42.3738;-72.5205;MA;Massachusetts;North Amherst
01060;42.329604;-72.625124;MA;Massachusetts;Northampton
01061;42.3251;-72.6418;MA;Massachusetts;Northampton
01062;42.330067;-72.692655;MA;Massachusetts;Florence
01062;42.330067;-72.692655;MA;Massachusetts;Northampton
01063;42.31822;-72.637674;MA;Massachusetts;Northampton
01066;42.4107;-72.6253;MA;Massachusetts;North Hatfield
01068;42.353309;-72.051399;MA;Massachusetts;Oakham
01069;42.192062;-72.307682;MA;Massachusetts;Palmer
01070;42.519603;-72.925186;MA;Massachusetts;Plainfield
01071;42.169224;-72.854502;MA;Massachusetts;Russell
01072;42.463022;-72.419998;MA;Massachusetts;Shutesbury
01073;42.230586;-72.741034;MA;Massachusetts;Southampton
01074;42.3824;-72.0998;MA;Massachusetts;South Barre
01075;42.258591;-72.575936;MA;Massachusetts;South Hadley
01077;42.049922;-72.772197;MA;Massachusetts;Southwick
01079;42.1968;-72.3271;MA;Massachusetts;Thorndike
01080;42.178348;-72.370504;MA;Massachusetts;Three Rivers
01081;42.061818;-72.231415;MA;Massachusetts;Wales
01082;42.288872;-72.277566;MA;Massachusetts;Ware
01083;42.202992;-72.197431;MA;Massachusetts;Warren
01084;42.386792;-72.879415;MA;Massachusetts;West Chesterfield
01085;42.162725;-72.771374;MA;Massachusetts;Westfield
01086;42.1253;-72.7501;MA;Massachusetts;Westfield
01088;42.388711;-72.646558;MA;Massachusetts;West Hatfield
01089;42.125682;-72.641677;MA;Massachusetts;West Springfield
01090;42.1068;-72.6206;MA;Massachusetts;West Springfield
